"week_end","pruid","prename","vaccine_group","product_name","numtotal_totaldoses_admin","numtotal_dose1_admin","numtotal_dose2_admin","numtotal_dose3_admin","numtotal_dose4_admin","numtotal_dose5._admin","numtotal_dosenotreported_admin","log_total_doses"
"2021-05-22",48,"Alberta","Unknown","Unknown",6029,6028,1,0,0,0,0,8.70433643848941
"2021-05-29",1,"Canada","Moderna Spikevax formulations","Moderna Spikevax",4627756,3130836,422938,0,0,0,1073982,15.3475826433475
"2021-05-29",1,"Canada","Other vaccines","AstraZeneca Vaxzevria/COVISHIELD",2264750,1685805,35223,0,0,0,543722,14.6329749355315
"2021-05-29",1,"Canada","Pfizer-BioNTech Comirnaty formulations","Pfizer-BioNTech Comirnaty (ages 12 years and older)",16781130,11728071,1173245,0,0,0,3879814,16.6357655988099
"2021-05-29",1,"Canada","Total","Total",23723140,16582040,1641566,0,0,0,5499534,16.9819615010729
"2021-05-29",1,"Canada","Unknown","Not reported",0,0,0,0,0,0,0,-Inf
"2021-05-29",1,"Canada","Unknown","Unknown",49504,37328,10160,0,0,0,2016,10.8098087533728
"2021-05-29",24,"Quebec","Unknown","Not reported",0,0,0,0,0,0,0,-Inf
"2021-05-29",48,"Alberta","Moderna Spikevax formulations","Moderna Spikevax",563112,481993,81119,0,0,0,0,13.2412338216177
"2021-05-29",48,"Alberta","Other vaccines","AstraZeneca Vaxzevria/COVISHIELD",267273,263345,3928,0,0,0,0,12.4960258869241
"2021-05-29",48,"Alberta","Pfizer-BioNTech Comirnaty formulations","Pfizer-BioNTech Comirnaty (ages 12 years and older)",2005613,1680284,325329,0,0,0,0,14.511460307656
"2021-05-29",48,"Alberta","Total","Total",2845269,2434885,410384,0,0,0,0,14.8611681729182
"2021-05-29",48,"Alberta","Unknown","Not reported",0,0,0,0,0,0,0,-Inf
"2021-05-29",48,"Alberta","Unknown","Unknown",9271,9263,8,0,0,0,0,9.13464652760698
"2021-06-05",1,"Canada","Moderna Spikevax formulations","Moderna Spikevax",5019209,3277528,562145,28,0,0,1179508,15.4287829095314
"2021-06-05",1,"Canada","Other vaccines","AstraZeneca Vaxzevria/COVISHIELD",2368969,1685439,81302,10,0,0,602218,14.6779653973651
"2021-06-05",1,"Canada","Pfizer-BioNTech Comirnaty formulations","Pfizer-BioNTech Comirnaty (ages 12 years and older)",18945479,12900507,1733772,53,0,0,4311147,16.7570758858312
"2021-06-05",1,"Canada","Total","Total",26349708,17876800,2377435,91,0,0,6095382,17.0869677512963
"2021-06-05",1,"Canada","Unknown","Not reported",0,0,0,0,0,0,0,-Inf
"2021-06-05",1,"Canada","Unknown","Unknown",16051,13326,216,0,0,0,2509,9.68352643191322
"2021-06-05",10,"Newfoundland and Labrador","Moderna Spikevax formulations","Moderna Spikevax",60038,55280,4758,0,0,0,0,11.0027329740667
"2021-06-05",10,"Newfoundland and Labrador","Other vaccines","AstraZeneca Vaxzevria/COVISHIELD",26903,26872,31,0,0,0,0,10.1999930835351
"2021-06-05",10,"Newfoundland and Labrador","Pfizer-BioNTech Comirnaty formulations","Pfizer-BioNTech Comirnaty (ages 12 years and older)",248652,236086,12566,0,0,0,0,12.4238096075451
"2021-06-05",10,"Newfoundland and Labrador","Total","Total",335593,318238,17355,0,0,0,0,12.7236543951932
"2021-06-05",10,"Newfoundland and Labrador","Unknown","Not reported",0,0,0,0,0,0,0,-Inf
"2021-06-05",10,"Newfoundland and Labrador","Unknown","Unknown",0,0,0,0,0,0,0,-Inf
"2021-06-05",11,"Prince Edward Island","Moderna Spikevax formulations","Moderna Spikevax",19213,16492,2721,0,0,0,0,9.8633424122317
"2021-06-05",11,"Prince Edward Island","Other vaccines","AstraZeneca Vaxzevria/COVISHIELD",5248,5248,0,0,0,0,0,8.56560233062392
"2021-06-05",11,"Prince Edward Island","Pfizer-BioNTech Comirnaty formulations","Pfizer-BioNTech Comirnaty (ages 12 years and older)",79719,68015,11704,0,0,0,0,11.2862632303444
"2021-06-05",11,"Prince Edward Island","Total","Total",104180,89755,14425,0,0,0,0,11.5538754512992
"2021-06-05",11,"Prince Edward Island","Unknown","Not reported",0,0,0,0,0,0,0,-Inf
"2021-06-05",11,"Prince Edward Island","Unknown","Unknown",0,0,0,0,0,0,0,-Inf
"2021-06-05",12,"Nova Scotia","Moderna Spikevax formulations","Moderna Spikevax",130782,118552,12230,0,0,0,0,11.7812870938566
"2021-06-05",12,"Nova Scotia","Other vaccines","AstraZeneca Vaxzevria/COVISHIELD",58215,58213,2,0,0,0,0,10.9718983324711
"2021-06-05",12,"Nova Scotia","Pfizer-BioNTech Comirnaty formulations","Pfizer-BioNTech Comirnaty (ages 12 years and older)",446420,414126,32294,0,0,0,0,13.009015491913
"2021-06-05",12,"Nova Scotia","Total","Total",635472,590928,44544,0,0,0,0,13.3621233088455
"2021-06-05",12,"Nova Scotia","Unknown","Not reported",0,0,0,0,0,0,0,-Inf
"2021-06-05",12,"Nova Scotia","Unknown","Unknown",55,37,18,0,0,0,0,4.00733318523247
"2021-06-05",24,"Quebec","Unknown","Not reported",0,0,0,0,0,0,0,-Inf
"2021-06-05",35,"Ontario","Moderna Spikevax formulations","Moderna Spikevax",1761808,1560801,201007,0,0,0,0,14.3818511124581
"2021-06-05",35,"Ontario","Other vaccines","AstraZeneca Vaxzevria/COVISHIELD",924453,861897,62556,0,0,0,0,13.736957490226
"2021-06-05",35,"Ontario","Pfizer-BioNTech Comirnaty formulations","Pfizer-BioNTech Comirnaty (ages 12 years and older)",7310516,6540384,770132,0,0,0,0,15.80482441747
"2021-06-05",35,"Ontario","Total","Total",9996777,8963082,1033695,0,0,0,0,16.1177732990085
"2021-06-05",35,"Ontario","Unknown","Not reported",0,0,0,0,0,0,0,-Inf
"2021-06-05",35,"Ontario","Unknown","Unknown",0,0,0,0,0,0,0,-Inf
"2021-06-05",46,"Manitoba","Moderna Spikevax formulations","Moderna Spikevax",187703,137599,50085,19,0,0,0,12.1426162053984
"2021-06-05",46,"Manitoba","Other vaccines","AstraZeneca Vaxzevria/COVISHIELD",82805,78372,4426,7,0,0,0,11.3242437250236
"2021-06-05",46,"Manitoba","Pfizer-BioNTech Comirnaty formulations","Pfizer-BioNTech Comirnaty (ages 12 years and older)",661973,570127,91835,11,0,0,0,13.4029800485889
"2021-06-05",46,"Manitoba","Total","Total",932481,786098,146346,37,0,0,0,13.7456040549574
"2021-06-05",46,"Manitoba","Unknown","Not reported",0,0,0,0,0,0,0,-Inf
"2021-06-05",46,"Manitoba","Unknown","Unknown",0,0,0,0,0,0,0,-Inf
"2021-06-05",47,"Saskatchewan","Moderna Spikevax formulations","Moderna Spikevax",166974,130129,36845,0,0,0,0,12.0255933906554
"2021-06-05",47,"Saskatchewan","Other vaccines","AstraZeneca Vaxzevria/COVISHIELD",73985,73575,410,0,0,0,0,11.2116176489366
"2021-06-05",47,"Saskatchewan","Pfizer-BioNTech Comirnaty formulations","Pfizer-BioNTech Comirnaty (ages 12 years and older)",567690,467166,100517,7,0,0,0,13.2493307740662
"2021-06-05",47,"Saskatchewan","Total","Total",808649,670870,137772,7,0,0,0,13.6031202329182
"2021-06-05",47,"Saskatchewan","Unknown","Not reported",0,0,0,0,0,0,0,-Inf
"2021-06-05",47,"Saskatchewan","Unknown","Unknown",0,0,0,0,0,0,0,-Inf
"2021-06-05",48,"Alberta","Moderna Spikevax formulations","Moderna Spikevax",605668,495392,110276,0,0,0,0,13.3140872601387
"2021-06-05",48,"Alberta","Other vaccines","AstraZeneca Vaxzevria/COVISHIELD",272211,263870,8341,0,0,0,0,12.5143327798451
"2021-06-05",48,"Alberta","Pfizer-BioNTech Comirnaty formulations","Pfizer-BioNTech Comirnaty (ages 12 years and older)",2254578,1818549,436029,0,0,0,0,14.6284733737165
"2021-06-05",48,"Alberta","Total","Total",3144305,2589610,554695,0,0,0,0,14.9611034380042
"2021-06-05",48,"Alberta","Unknown","Not reported",0,0,0,0,0,0,0,-Inf
"2021-06-05",48,"Alberta","Unknown","Unknown",11848,11799,49,0,0,0,0,9.37991435594764
"2021-06-05",59,"British Columbia","Moderna Spikevax formulations","Moderna Spikevax",669892,597969,71914,9,0,0,0,13.4148717843441
"2021-06-05",59,"British Columbia","Other vaccines","AstraZeneca Vaxzevria/COVISHIELD",278336,274019,4314,3,0,0,0,12.5365842959573
"2021-06-05",59,"British Columbia","Pfizer-BioNTech Comirnaty formulations","Pfizer-BioNTech Comirnaty (ages 12 years and older)",2674598,2435217,239346,35,0,0,0,14.7993096466452
"2021-06-05",59,"British Columbia","Total","Total",3623099,3307398,315654,47,0,0,0,15.1028402949248
"2021-06-05",59,"British Columbia","Unknown","Not reported",0,0,0,0,0,0,0,-Inf
"2021-06-05",59,"British Columbia","Unknown","Unknown",273,193,80,0,0,0,0,5.60947179518496
"2021-06-05",60,"Yukon","Moderna Spikevax formulations","Moderna Spikevax",53679,28249,25430,0,0,0,0,10.89077714256
"2021-06-05",60,"Yukon","Other vaccines","AstraZeneca Vaxzevria/COVISHIELD",0,0,0,0,0,0,0,-Inf
"2021-06-05",60,"Yukon","Pfizer-BioNTech Comirnaty formulations","Pfizer-BioNTech Comirnaty (ages 12 years and older)",0,0,0,0,0,0,0,-Inf
"2021-06-05",60,"Yukon","Total","Total",53679,28249,25430,0,0,0,0,10.89077714256
"2021-06-05",60,"Yukon","Unknown","Not reported",0,0,0,0,0,0,0,-Inf
"2021-06-05",60,"Yukon","Unknown","Unknown",0,0,0,0,0,0,0,-Inf
"2021-06-05",61,"Northwest Territories","Moderna Spikevax formulations","Moderna Spikevax",53379,28584,24795,0,0,0,0,10.8851726891749
"2021-06-05",61,"Northwest Territories","Other vaccines","AstraZeneca Vaxzevria/COVISHIELD",0,0,0,0,0,0,0,-Inf
"2021-06-05",61,"Northwest Territories","Pfizer-BioNTech Comirnaty formulations","Pfizer-BioNTech Comirnaty (ages 12 years and older)",1899,1810,89,0,0,0,0,7.54908271081229
"2021-06-05",61,"Northwest Territories","Total","Total",55278,30394,24884,0,0,0,0,10.920130278337
"2021-06-05",61,"Northwest Territories","Unknown","Not reported",0,0,0,0,0,0,0,-Inf
"2021-06-05",61,"Northwest Territories","Unknown","Unknown",0,0,0,0,0,0,0,-Inf
"2021-06-05",62,"Nunavut","Moderna Spikevax formulations","Moderna Spikevax",33018,17596,15422,0,0,0,0,10.4048081462878
"2021-06-05",62,"Nunavut","Other vaccines","AstraZeneca Vaxzevria/COVISHIELD",0,0,0,0,0,0,0,-Inf
"2021-06-05",62,"Nunavut","Pfizer-BioNTech Comirnaty formulations","Pfizer-BioNTech Comirnaty (ages 12 years and older)",0,0,0,0,0,0,0,-Inf
"2021-06-05",62,"Nunavut","Total","Total",33018,17596,15422,0,0,0,0,10.4048081462878
"2021-06-05",62,"Nunavut","Unknown","Not reported",0,0,0,0,0,0,0,-Inf
"2021-06-05",62,"Nunavut","Unknown","Unknown",0,0,0,0,0,0,0,-Inf
"2021-06-12",1,"Canada","Moderna Spikevax formulations","Moderna Spikevax",5392212,3346206,812940,25,0,0,1233041,15.5004662483088
"2021-06-12",1,"Canada","Other vaccines","AstraZeneca Vaxzevria/COVISHIELD",2500235,1687319,184569,14,0,0,628333,14.7318952854207
"2021-06-12",1,"Canada","Pfizer-BioNTech Comirnaty formulations","Pfizer-BioNTech Comirnaty (ages 12 years and older)",21351774,13651833,2851587,67,0,0,4848287,16.8766453855219
"2021-06-12",1,"Canada","Total","Total",29262087,18700207,3849512,106,0,0,6712262,17.191803277055
"2021-06-12",1,"Canada","Unknown","Not reported",0,0,0,0,0,0,0,-Inf
"2021-06-12",1,"Canada","Unknown","Unknown",17866,14849,416,0,0,0,2601,9.79065474426178
"2021-06-12",10,"Newfoundland and Labrador","Moderna Spikevax formulations","Moderna Spikevax",63948,57771,6177,0,0,0,0,11.0658255320848
"2021-06-12",10,"Newfoundland and Labrador","Other vaccines","AstraZeneca Vaxzevria/COVISHIELD",26898,26858,40,0,0,0,0,10.1998072133835
"2021-06-12",10,"Newfoundland and Labrador","Pfizer-BioNTech Comirnaty formulations","Pfizer-BioNTech Comirnaty (ages 12 years and older)",278314,258661,19653,0,0,0,0,12.5365052516745
"2021-06-12",10,"Newfoundland and Labrador","Total","Total",369160,343290,25870,0,0,0,0,12.8189854333795
"2021-06-12",10,"Newfoundland and Labrador","Unknown","Not reported",0,0,0,0,0,0,0,-Inf
"2021-06-12",10,"Newfoundland and Labrador","Unknown","Unknown",0,0,0,0,0,0,0,-Inf
"2021-06-12",11,"Prince Edward Island","Moderna Spikevax formulations","Moderna Spikevax",21223,17366,3857,0,0,0,0,9.96284077823564
"2021-06-12",11,"Prince Edward Island","Other vaccines","AstraZeneca Vaxzevria/COVISHIELD",5385,5250,135,0,0,0,0,8.59137258959049
"2021-06-12",11,"Prince Edward Island","Pfizer-BioNTech Comirnaty formulations","Pfizer-BioNTech Comirnaty (ages 12 years and older)",89964,76658,13306,0,0,0,0,11.4071648692911
"2021-06-12",11,"Prince Edward Island","Total","Total",116572,99274,17298,0,0,0,0,11.6662643868397
"2021-06-12",11,"Prince Edward Island","Unknown","Not reported",0,0,0,0,0,0,0,-Inf
"2021-06-12",11,"Prince Edward Island","Unknown","Unknown",0,0,0,0,0,0,0,-Inf
"2021-06-12",12,"Nova Scotia","Moderna Spikevax formulations","Moderna Spikevax",132245,119530,12715,0,0,0,0,11.7924115418225
"2021-06-12",12,"Nova Scotia","Other vaccines","AstraZeneca Vaxzevria/COVISHIELD",58246,58243,3,0,0,0,0,10.9724306995422
"2021-06-12",12,"Nova Scotia","Pfizer-BioNTech Comirnaty formulations","Pfizer-BioNTech Comirnaty (ages 12 years and older)",505636,467519,38117,0,0,0,0,13.1335723218117
"2021-06-12",12,"Nova Scotia","Total","Total",696204,645341,50863,0,0,0,0,13.4533979998184
"2021-06-12",12,"Nova Scotia","Unknown","Not reported",0,0,0,0,0,0,0,-Inf
"2021-06-12",12,"Nova Scotia","Unknown","Unknown",77,49,28,0,0,0,0,4.34380542185368
"2021-06-12",24,"Quebec","Unknown","Not reported",0,0,0,0,0,0,0,-Inf
"2021-06-12",35,"Ontario","Moderna Spikevax formulations","Moderna Spikevax",1947429,1599516,347913,0,0,0,0,14.4820205990663
"2021-06-12",35,"Ontario","Other vaccines","AstraZeneca Vaxzevria/COVISHIELD",960956,862238,98718,0,0,0,0,13.7756839012643
"2021-06-12",35,"Ontario","Pfizer-BioNTech Comirnaty formulations","Pfizer-BioNTech Comirnaty (ages 12 years and older)",8303749,6950780,1352969,0,0,0,0,15.9322176575341
"2021-06-12",35,"Ontario","Total","Total",11212134,9412534,1799600,0,0,0,0,16.232507142676
"2021-06-12",35,"Ontario","Unknown","Not reported",0,0,0,0,0,0,0,-Inf
"2021-06-12",35,"Ontario","Unknown","Unknown",0,0,0,0,0,0,0,-Inf
"2021-06-12",46,"Manitoba","Moderna Spikevax formulations","Moderna Spikevax",198807,144653,54140,14,0,0,0,12.2000897838523
"2021-06-12",46,"Manitoba","Other vaccines","AstraZeneca Vaxzevria/COVISHIELD",83028,78439,4589,0,0,0,0,11.3269331792868
"2021-06-12",46,"Manitoba","Pfizer-BioNTech Comirnaty formulations","Pfizer-BioNTech Comirnaty (ages 12 years and older)",744252,612168,132076,8,0,0,0,13.5201349661435
"2021-06-12",46,"Manitoba","Total","Total",1026087,835260,190805,22,0,0,0,13.8412630964396
"2021-06-12",46,"Manitoba","Unknown","Not reported",0,0,0,0,0,0,0,-Inf
"2021-06-12",46,"Manitoba","Unknown","Unknown",0,0,0,0,0,0,0,-Inf
"2021-06-12",47,"Saskatchewan","Moderna Spikevax formulations","Moderna Spikevax",180685,131564,49121,0,0,0,0,12.1045104626201
"2021-06-12",47,"Saskatchewan","Other vaccines","AstraZeneca Vaxzevria/COVISHIELD",86566,73818,12748,0,0,0,0,11.3686624077594
"2021-06-12",47,"Saskatchewan","Pfizer-BioNTech Comirnaty formulations","Pfizer-BioNTech Comirnaty (ages 12 years and older)",635056,485591,149453,12,0,0,0,13.3614684629628
"2021-06-12",47,"Saskatchewan","Total","Total",902307,690973,211322,12,0,0,0,13.7127100959044
"2021-06-12",47,"Saskatchewan","Unknown","Not reported",0,0,0,0,0,0,0,-Inf
"2021-06-12",47,"Saskatchewan","Unknown","Unknown",0,0,0,0,0,0,0,-Inf
"2021-06-12",48,"Alberta","Moderna Spikevax formulations","Moderna Spikevax",647984,499844,148140,0,0,0,0,13.3816212836716
"2021-06-12",48,"Alberta","Other vaccines","AstraZeneca Vaxzevria/COVISHIELD",284376,264418,19958,0,0,0,0,12.5580525851647
"2021-06-12",48,"Alberta","Pfizer-BioNTech Comirnaty formulations","Pfizer-BioNTech Comirnaty (ages 12 years and older)",2515061,1887982,627079,0,0,0,0,14.737807615695
"2021-06-12",48,"Alberta","Total","Total",3460509,2665153,795356,0,0,0,0,15.0569262460409
"2021-06-12",48,"Alberta","Unknown","Not reported",0,0,0,0,0,0,0,-Inf
"2021-06-12",48,"Alberta","Unknown","Unknown",13088,12909,179,0,0,0,0,9.47945105884253
"2021-06-12",59,"British Columbia","Moderna Spikevax formulations","Moderna Spikevax",719336,606306,113019,11,0,0,0,13.4860838432615
"2021-06-12",59,"British Columbia","Other vaccines","AstraZeneca Vaxzevria/COVISHIELD",320511,274649,45848,14,0,0,0,12.6776718761268
"2021-06-12",59,"British Columbia","Pfizer-BioNTech Comirnaty formulations","Pfizer-BioNTech Comirnaty (ages 12 years and older)",2993303,2538373,454883,47,0,0,0,14.9118880179286
"2021-06-12",59,"British Columbia","Total","Total",4033518,3419598,613848,72,0,0,0,15.2101495059747
"2021-06-12",59,"British Columbia","Unknown","Not reported",0,0,0,0,0,0,0,-Inf
"2021-06-12",59,"British Columbia","Unknown","Unknown",368,270,98,0,0,0,0,5.90808293816893
"2021-06-12",60,"Yukon","Moderna Spikevax formulations","Moderna Spikevax",54491,28539,25952,0,0,0,0,10.9057908293999
"2021-06-12",60,"Yukon","Other vaccines","AstraZeneca Vaxzevria/COVISHIELD",0,0,0,0,0,0,0,-Inf
"2021-06-12",60,"Yukon","Pfizer-BioNTech Comirnaty formulations","Pfizer-BioNTech Comirnaty (ages 12 years and older)",0,0,0,0,0,0,0,-Inf
"2021-06-12",60,"Yukon","Total","Total",54491,28539,25952,0,0,0,0,10.9057908293999
"2021-06-12",60,"Yukon","Unknown","Not reported",0,0,0,0,0,0,0,-Inf
"2021-06-12",60,"Yukon","Unknown","Unknown",0,0,0,0,0,0,0,-Inf
"2021-06-12",61,"Northwest Territories","Moderna Spikevax formulations","Moderna Spikevax",54027,28807,25220,0,0,0,0,10.8972392005881
"2021-06-12",61,"Northwest Territories","Other vaccines","AstraZeneca Vaxzevria/COVISHIELD",0,0,0,0,0,0,0,-Inf
"2021-06-12",61,"Northwest Territories","Pfizer-BioNTech Comirnaty formulations","Pfizer-BioNTech Comirnaty (ages 12 years and older)",3168,2118,1050,0,0,0,0,8.06085575293432
"2021-06-12",61,"Northwest Territories","Total","Total",57195,30925,26270,0,0,0,0,10.9542217609598
"2021-06-12",61,"Northwest Territories","Unknown","Not reported",0,0,0,0,0,0,0,-Inf
"2021-06-12",61,"Northwest Territories","Unknown","Unknown",0,0,0,0,0,0,0,-Inf
"2021-06-12",62,"Nunavut","Moderna Spikevax formulations","Moderna Spikevax",33791,17991,15800,0,0,0,0,10.427949773825
"2021-06-12",62,"Nunavut","Other vaccines","AstraZeneca Vaxzevria/COVISHIELD",0,0,0,0,0,0,0,-Inf
"2021-06-12",62,"Nunavut","Pfizer-BioNTech Comirnaty formulations","Pfizer-BioNTech Comirnaty (ages 12 years and older)",0,0,0,0,0,0,0,-Inf
"2021-06-12",62,"Nunavut","Total","Total",33791,17991,15800,0,0,0,0,10.427949773825
"2021-06-12",62,"Nunavut","Unknown","Not reported",0,0,0,0,0,0,0,-Inf
"2021-06-12",62,"Nunavut","Unknown","Unknown",0,0,0,0,0,0,0,-Inf
"2021-06-19",1,"Canada","Moderna Spikevax formulations","Moderna Spikevax",5892721,3411096,1160839,30,0,0,1320756,15.5892284183925
"2021-06-19",1,"Canada","Other vaccines","AstraZeneca Vaxzevria/COVISHIELD",2620750,1689696,273642,11,0,0,657401,14.7789710943148
